sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
644,0.142 893 640,"SysTick","ISR Exit","Returns to Idle",3572341,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3566,3,03 E8 02 
645,0.143 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3595814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3569,5,02 0F B1 B7 01 
646,0.143 849 280,"SysTick","xTaskIncrementTick","",3596232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3574,5,DB 01 00 A2 03 
647,0.143 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3596757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3579,7,1C 03 DB 01 00 8D 04 
648,0.143 884 680,"SysTick","ISR Exit","Returns to Idle",3597117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3586,3,03 E8 02 
649,0.144 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3620814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3589,5,02 0F 91 B9 01 
650,0.144 849 280,"SysTick","xTaskIncrementTick","",3621232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3594,5,DB 01 00 A2 03 
651,0.144 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3621757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3599,7,1C 03 DB 01 00 8D 04 
652,0.144 884 680,"SysTick","ISR Exit","Returns to Idle",3622117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3606,3,03 E8 02 
653,0.145 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3645814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3609,5,02 0F 91 B9 01 
654,0.145 849 280,"SysTick","xTaskIncrementTick","",3646232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3614,5,DB 01 00 A2 03 
655,0.145 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3646757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3619,7,1C 03 DB 01 00 8D 04 
